id,module,question,answer,keywords
M001,空调,怎么把空调打开自动模式?,在空调面板点击 AUTO。系统会按设定温度自动调节风量和出风模式。,空调 自动 AUTO 温度
M002,空调,前挡风玻璃起雾怎么办?,打开前除雾键。系统会提高吹窗风量和温度，加快除掉前挡雾气。,除雾 起雾 前挡 玻璃
M003,座椅,驾驶座怎么开加热?,在座椅控制或中控座椅页打开驾驶座加热，选低/中/高档。座椅表面会逐渐升温。,座椅 加热 驾驶座
M004,座椅,方向盘加热在哪里开?,在方向盘按键或中控座舱设置里打开方向盘加热。冷车起步时建议先开低档。,方向盘 加热
M005,充电,车辆怎么预约充电?,连接充电枪后，在中控能源页打开预约充电，设置开始时间和目标电量。,充电 预约 电量 充电枪
M006,充电,充电枪插上没反应怎么办?,先确认枪锁到位、充电桩有电。再看中控是否弹出充电连接。仍无反应可拔插一次，或换桩尝试。,充电枪 没反应 充电桩
M007,驾驶,巡航怎么设定车速?,把档位放到 D，加速到目标车速后，按方向盘巡航键确认。之后可用加减速键微调。,巡航 定速 车速
M008,驾驶,车道偏离预警怎么关?,在中控辅助驾驶设置里关闭车道偏离预警。关闭后系统不再在压线时震动或报警。,车道 偏离 预警 辅助驾驶
M009,娱乐,蓝牙怎么连手机?,打开手机蓝牙，在中控连接-蓝牙里选择你的手机并确认配对。首次需要在手机点允许。,蓝牙 手机 配对 连接
M010,娱乐,导航回家怎么设?,在导航收藏里把家的地址存成「家」。之后语音说「导航回家」，或在收藏里一点即可。,导航 回家 收藏
M011,安全,儿童锁在哪里?,后车门内侧有儿童锁拨杆，拨到锁止后车内无法开后两门。中控安全页也能看到状态。,儿童锁 后门 安全
M012,系统,语音助手怎么唤醒?,说「你好，东风」或短按方向盘语音键。听到提示音后可以直接说空调、导航、电话指令。,语音 唤醒 助手
